Agency Name,State Name,Locale
21ST CENTURY CHARTER SCH OF GARY,Indiana,13-City: Small
21ST CENTURY CYBER CS,Pennsylvania,21-Suburb: Large
21ST CENTURY PREPARATORY SCHOOL AGENCY,Wisconsin,13-City: Small
21ST CENTURY PUBLIC ACADEMY,NEW MEXICO,11-City: Large
A E R O  SPEC EDUC COOP,Illinois,21-Suburb: Large
A W BEATTIE CAREER CENTER,Pennsylvania,21-Suburb: Large
A W BROWN LEADERSHIP ACADEMY,Texas,11-City: Large
A+ ACADEMY,Texas,11-City: Large
A+ ARTS ACADEMY,Ohio,11-City: Large
A+ CHARTER SCHOOLS (1000166),ARIZONA,32-Town: Distant
A+ CHILDREN'S ACADEMY,Ohio,11-City: Large
A+ UNLIMITED POTENTIAL,TEXAS,11-City: Large
A-C CENTRAL CUSD 262,Illinois,42-Rural: Distant
A. LINWOOD HOLTON GOV SCH,Virginia,23-Suburb: Small
A.C.E. ACADEMY,North Carolina,22-Suburb: Mid-size
A.C.G.C. PUBLIC SCHOOL DISTRICT,Minnesota,42-Rural: Distant
A.E. PHILLIPS LABORATORY SCHOOL,Louisiana,32-Town: Distant
ABBEVILLE 60,South Carolina,42-Rural: Distant
ABBOTSFORD SCHOOL DISTRICT,Wisconsin,41-Rural: Fringe
ABBOTT ISD,Texas,42-Rural: Distant
ABBOTT UNION FREE SCHOOL DISTRICT,New York,21-Suburb: Large
ABBY KELLEY FOSTER CHARTER PUBLIC (DISTRICT),Massachusetts,12-City: Mid-size
ABC UNIFIED,California,21-Suburb: Large
ABERDEEN DISTRICT,Idaho,42-Rural: Distant
ABERDEEN SCHOOL DIST,Mississippi,33-Town: Remote
ABERDEEN SCHOOL DISTRICT,Washington,33-Town: Remote
ABERDEEN SCHOOL DISTRICT 06-1,South Dakota,33-Town: Remote
ABERNATHY ISD,Texas,31-Town: Fringe
ABILENE,Kansas,32-Town: Distant
ABILENE ISD,Texas,12-City: Mid-size
ABINGDON-AVON CUSD 276,Illinois,33-Town: Remote
ABINGTON,Massachusetts,21-Suburb: Large
ABINGTON HEIGHTS SD,Pennsylvania,41-Rural: Fringe
ABINGTON SD,Pennsylvania,21-Suburb: Large
ABQ SCHOOL OF EXCELLENCE,New Mexico,11-City: Large
ABQ SIGN LANGUAGE ACADEMY,New Mexico,11-City: Large
ABRAMSON SCI ACADEMY,LOUISIANA,11-City: Large
ABSAROKEE ELEM,Montana,43-Rural: Remote
ABSAROKEE H S,Montana,43-Rural: Remote
ABSECON PUBLIC SCHOOLS DISTRICT,New Jersey,22-Suburb: Mid-size
ACADEMIA ANTONIA ALONSO,Delaware,21-Suburb: Large
ACADEMIA AVANCE CHARTER DISTRICT,CALIFORNIA,11-City: Large
ACADEMIA CESAR CHAVEZ CHARTER SCH.,Minnesota,11-City: Large
ACADEMIA MODERNA DISTRICT,CALIFORNIA,21-Suburb: Large
ACADEMIC AND CAREER EDUCATION ACADEMY,Michigan,41-Rural: Fringe
ACADEMIC ARTS HIGH SCHOOL,Minnesota,21-Suburb: Large
ACADEMIC LEADERSHIP CHARTER SCHOOL,New York,11-City: Large
ACADEMICS PLUS CHARTER SCHOOL,Arkansas,21-Suburb: Large
